110年09月17日每5秒委託成交統計,,,,,,,
時間,累積委託買進筆數,累積委託買進數量,累積委託賣出筆數,累積委託賣出數量,累積成交筆數,累積成交數量,累積成交金額
09:00:00,"349,565","3,816,759","349,774","1,499,348",0,0,0
09:00:05,"352,124","3,828,083","352,083","1,523,936","9,616","31,320","2,216"
09:00:10,"354,766","3,883,418","354,019","1,584,409","15,469","48,951","3,105"
09:00:15,"357,885","3,885,789","356,130","1,602,568","21,565","77,923","4,232"
09:00:20,"361,233","3,896,246","358,306","1,610,621","25,754","87,571","4,891"
09:00:25,"364,095","3,950,362","360,592","1,652,123","27,081","90,760","5,090"
09:00:30,"367,815","4,327,430","363,065","1,731,546","28,271","93,488","5,277"
09:00:35,"371,128","4,462,918","365,841","1,864,545","30,023","98,663","5,598"
09:00:40,"375,001","4,653,138","369,096","1,997,775","31,371","102,060","5,825"
09:00:45,"379,725","4,927,471","373,326","2,192,151","32,824","106,334","6,049"
09:00:50,"384,321","5,195,558","377,266","2,421,716","33,979","109,524","6,249"
09:00:55,"388,562","5,390,601","380,825","2,546,828","35,253","112,707","6,427"
09:01:00,"392,772","5,563,329","384,527","2,671,505","36,620","116,040","6,610"
09:01:05,"398,877","6,224,015","390,373","3,230,350","38,210","120,203","6,852"
09:01:10,"404,065","6,290,332","395,099","3,110,195","39,432","123,646","7,066"
09:01:15,"408,716","6,417,936","399,224","3,188,630","40,748","127,320","7,252"
09:01:20,"413,391","6,566,953","403,655","3,268,002","41,980","130,567","7,464"
09:01:25,"420,360","7,768,626","410,482","4,129,218","43,751","135,157","7,680"
09:01:30,"427,396","8,819,348","417,869","4,883,849","45,270","140,797","7,913"
09:01:35,"434,323","9,616,277","425,090","5,430,171","46,387","144,384","8,078"
09:01:40,"442,216","10,411,579","432,974","5,823,464","47,717","149,069","8,268"
09:01:45,"448,124","10,423,596","439,094","5,827,144","48,942","152,986","8,473"
09:01:50,"453,887","10,554,450","445,219","5,993,380","50,111","156,958","8,635"
09:01:55,"458,801","10,499,223","450,336","5,923,448","51,698","162,791","8,857"
09:02:00,"464,416","10,423,157","456,222","5,882,017","53,041","166,941","9,105"
09:02:05,"471,398","10,816,420","463,214","6,250,564","56,054","178,427","9,545"
09:02:10,"477,000","10,846,076","469,365","6,299,164","57,411","183,514","9,736"
09:02:15,"483,206","10,958,686","475,530","6,404,913","58,815","188,313","9,971"
09:02:20,"489,639","10,918,540","481,671","6,346,327","59,984","192,717","10,187"
09:02:25,"495,151","11,027,129","486,852","6,446,288","61,075","196,448","10,322"
09:02:30,"500,695","11,008,938","492,383","6,441,917","62,114","199,740","10,488"
09:02:35,"505,554","11,008,193","497,303","6,447,584","63,095","203,066","10,625"
09:02:40,"510,516","11,182,214","502,434","6,540,484","64,003","206,412","10,772"
09:02:45,"516,063","11,127,704","507,887","6,510,010","65,307","210,739","10,967"
09:02:50,"521,417","11,397,528","512,842","6,574,052","66,337","213,676","11,116"
09:02:55,"527,121","11,678,081","518,544","6,658,986","67,437","218,529","11,260"
09:03:00,"531,910","11,712,702","523,245","6,719,394","68,571","222,278","11,446"
09:03:05,"538,528","12,119,895","530,201","7,172,508","70,082","227,334","11,687"
09:03:10,"545,113","12,274,256","536,604","7,265,137","71,778","232,654","12,017"
09:03:15,"551,706","12,298,228","543,022","7,239,227","73,499","240,595","12,301"
09:03:20,"558,031","12,433,192","549,928","7,267,442","74,928","244,583","12,475"
09:03:25,"567,626","12,429,536","559,723","7,260,555","77,617","253,380","12,901"
09:03:30,"574,049","13,041,604","567,070","7,647,183","79,064","259,355","13,112"
09:03:35,"579,687","13,139,085","573,184","7,740,471","80,913","266,237","13,508"
09:03:40,"586,664","13,237,322","580,536","7,823,856","82,682","271,942","13,834"
09:03:45,"594,487","13,243,467","589,253","7,869,028","84,313","278,144","14,139"
09:03:50,"601,916","13,280,076","596,916","7,940,244","85,830","283,455","14,363"
09:03:55,"609,076","13,361,079","604,079","7,919,584","86,921","287,000","14,509"
09:04:00,"616,224","13,639,609","611,375","8,157,508","88,136","291,049","14,705"
