個股日成交資訊  ,,,,,,,,
股票代號:5351,,,,,,,,
股票名稱:鈺創,,,,,,,,
資料日期:110/08,,,,,,,,
日 期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
110/08/02,"50,793","2,587,634",51.1,52.1,49.8,51.2,1.9,"24,704"
110/08/03,"28,887","1,461,370",51.3,52.1,49.6,50,-1.2,"16,118"
110/08/04,"56,736","2,951,199",50.8,53.3,50.6,52.1,2.1,"28,980"
110/08/05,"29,284","1,529,606",52.5,53.5,51.1,51.6,-0.5,"15,965"
110/08/06,"25,816","1,330,406",51.9,53.1,50.1,50.3,-1.3,"13,616"
110/08/09,"40,997","1,952,513",50.8,50.8,45.7,46.75,-3.55,"20,060"
110/08/10,"40,999","1,954,202",48.7,48.95,46.4,47,0.25,"20,072"
110/08/11,"39,094","1,756,978",46.85,47.45,43.2,43.7,-3.3,"18,872"
110/08/12,"22,038","979,107",44.7,45.4,43.6,44.6,0.9,"10,602"
110/08/13,"35,477","1,467,451",44.1,44.1,40.15,40.15,-4.45,"17,358"
110/08/16,"30,753","1,231,896",39,41.45,38.4,40.85,0.7,"14,245"
110/08/17,"27,332","1,067,458",40.9,41.4,37.5,37.7,-3.15,"12,971"
110/08/18,"32,727","1,273,984",37.15,41.45,36.3,41.45,3.75,"15,002"
110/08/19,"40,722","1,694,604",41,43.15,39.7,39.7,-1.75,"20,602"
110/08/20,"22,718","926,009",40.6,41.6,39.5,41.25,1.55,"11,906"
110/08/23,"20,776","875,560",41.35,42.95,41.35,41.9,0.65,"10,758"
110/08/24,"26,293","1,109,222",42.9,43.9,40.25,41.1,-0.8,"13,021"
110/08/25,"16,770","703,616",41.4,43.1,41.1,41.75,0.65,"8,652"
110/08/26,"15,311","632,918",42.85,42.85,40.3,40.65,-1.1,"7,673"
110/08/27,"16,940","674,807",40.55,41.3,38.85,39.3,-1.35,"8,952"
110/08/30,"15,487","630,554",40.05,41.4,39.7,41,1.7,"8,219"
110/08/31,"16,974","698,228",41,42,40.25,41.85,0.85,"8,175"
共22筆,,,,,,,,
