"排名 
","基金名稱 
","基金公司 
","淨值日期 
","一個月(%) 
","三個月(%) 
","六個月(%) 
","一年(%) 
","三年(%) 
","五年(%) 
","十年(%) 
"
1,統一黑馬基金,統一投信,09/17,8.47,1.44,29.31,81.22,135.30,210.97,370.12
2,新光台灣富貴基金,新光投信,09/17,6.62,5.00,28.43,76.00,136.14,156.67,207.92
3,國泰台灣高股息基金-B配息(台幣),國泰投信,09/17,6.47,8.23,29.12,68.85,N/A,N/A,N/A
4,國泰台灣高股息基金-A不配息(台幣),國泰投信,09/17,6.48,8.18,29.04,68.79,N/A,N/A,N/A
5,瀚亞菁華基金,瀚亞投信,09/17,15.18,13.10,30.62,65.00,98.11,193.89,203.35
6,新光大三通基金,新光投信,09/17,9.70,8.49,24.94,63.94,138.21,141.45,178.81
7,日盛MIT主流基金,日盛投信,09/17,7.92,3.86,22.85,58.32,104.61,118.30,235.71
8,凱基開創基金,凱基投信,09/17,7.76,6.96,22.09,58.26,107.71,171.65,276.01
9,安聯台灣大壩基金-G累積型(台幣),安聯投信,09/17,13.96,11.12,34.87,57.16,N/A,N/A,N/A
10,野村鴻運基金,野村投信,09/17,10.88,8.10,19.14,57.14,136.28,153.40,320.99
11,安聯台灣智慧基金,安聯投信,09/17,14.91,13.14,31.05,56.98,184.13,311.88,721.81
12,安聯台灣大壩基金-A累積型(台幣),安聯投信,09/17,13.84,10.84,34.18,55.63,155.73,290.19,673.59
13,野村優質基金-累積S類型(台幣),野村投信,09/17,14.02,9.19,14.55,55.50,195.92,N/A,N/A
14,合庫台灣高科技基金,合作金庫投信,09/17,5.30,2.51,21.49,54.75,N/A,N/A,N/A
15,野村優質基金,野村投信,09/17,13.98,9.07,14.27,54.74,191.23,218.49,427.15
16,兆豐國際第一基金,兆豐投信,09/17,11.65,10.33,29.22,53.52,109.13,127.82,140.39
17,日盛精選五虎基金,日盛投信,09/17,6.47,3.19,20.31,51.65,91.56,130.99,238.21
18,富蘭克林華美第一富基金,富蘭克林華美投信,09/17,3.71,-4.19,17.01,51.25,98.73,153.64,227.42
19,統一統信基金,統一投信,09/17,8.35,3.81,21.79,50.54,100.50,130.71,212.35
20,野村成長基金,野村投信,09/17,11.68,4.07,10.86,50.41,152.27,185.48,380.09
21,瀚亞外銷基金,瀚亞投信,09/17,10.38,7.32,21.13,49.90,81.51,154.87,188.80
22,國泰小龍基金-I類型(美元),國泰投信,09/17,11.40,8.97,20.41,49.86,N/A,N/A,N/A
23,日盛上選基金-A類型,日盛投信,09/17,8.70,6.26,25.21,49.29,116.31,206.91,272.06
24,日盛上選基金-I類型,日盛投信,09/17,8.70,6.26,25.21,49.29,N/A,N/A,N/A
25,統一經建基金,統一投信,09/17,8.93,5.47,19.92,48.97,100.46,172.66,320.43
26,野村積極成長基金,野村投信,09/17,11.63,3.93,10.24,48.89,152.12,186.73,379.97
27,野村台灣運籌基金,野村投信,09/17,12.16,7.96,12.33,48.25,117.41,176.59,385.52
28,合庫台灣基金,合作金庫投信,09/17,5.02,3.22,17.00,47.66,80.86,94.78,137.94
29,第一金創新趨勢基金,第一金投信,09/17,6.53,4.01,13.46,47.33,64.35,134.95,259.79
30,統一台灣動力基金,統一投信,09/17,8.52,4.79,18.17,46.39,136.34,217.85,353.34
31,元大卓越基金,元大投信,09/17,7.56,0.91,11.27,46.32,46.72,62.28,89.11
32,元大多多基金,元大投信,09/17,7.81,2.99,11.18,46.09,86.34,100.06,113.07
33,富邦台灣心基金,富邦投信,09/17,9.80,4.35,14.84,45.32,111.67,187.03,267.22
34,國泰國泰基金,國泰投信,09/17,8.62,6.43,13.88,45.25,104.14,128.66,235.55
35,國泰國泰基金-I類型,國泰投信,09/17,8.62,6.43,13.88,45.25,104.14,N/A,N/A
36,摩根台灣金磚基金-累積型,摩根投信,09/17,8.13,4.70,15.44,44.57,88.46,94.46,222.98
37,摩根台灣金磚基金-機構法人型,摩根投信,09/17,8.13,4.70,15.44,44.57,88.46,N/A,N/A
38,群益葛萊美基金,群益投信,09/17,14.22,5.16,12.19,44.36,91.71,135.93,252.67
39,富邦台灣永續發展高股息基金B配息,富邦投信,09/17,7.30,4.24,11.31,44.15,N/A,N/A,N/A
40,富邦台灣永續發展高股息基金A不配息,富邦投信,09/17,7.29,4.24,11.31,44.14,N/A,N/A,N/A
41,群益長安基金,群益投信,09/17,2.89,-4.52,23.15,44.03,108.65,172.67,256.43
42,元大二○○一基金,元大投信,09/17,9.32,4.98,12.81,43.91,97.08,124.74,281.07
43,華南永昌永昌基金,華南永昌投信,09/17,7.56,5.10,20.32,43.63,116.44,191.59,327.40
44,聯博大利基金,聯博投信,09/17,5.45,1.77,9.61,43.28,81.26,115.35,198.40
45,兆豐國際豐台灣基金,兆豐投信,09/17,5.42,6.79,20.72,42.74,81.07,117.52,205.13
46,宏利台灣動力基金I類,宏利投信,09/17,12.20,7.76,19.80,42.72,N/A,N/A,N/A
47,匯豐龍鳳基金,匯豐中華投信,09/17,6.00,3.64,14.01,42.67,74.97,120.85,170.73
48,國泰小龍基金(台幣),國泰投信,09/17,10.85,8.86,17.99,42.60,79.83,97.54,146.65
