County,SiteId,PM2.5,﻿SiteName
基隆市,1,11,基隆
新北市,2,14,汐止
新北市,3,12,萬里
新北市,4,12,新店
新北市,5,21,土城
新北市,6,22,板橋
新北市,7,22,新莊
新北市,8,18,菜寮
新北市,9,18,林口
新北市,10,19,淡水
臺北市,11,16,士林
臺北市,12,21,中山
臺北市,13,15,萬華
臺北市,14,16,古亭
臺北市,15,18,松山
臺北市,16,25,大同
桃園市,17,22,桃園
桃園市,18,15,大園
桃園市,19,19,觀音
桃園市,20,23,平鎮
桃園市,21,18,龍潭
新竹縣,22,27,湖口
新竹縣,23,24,竹東
新竹市,24,27,新竹
苗栗縣,25,31,頭份
苗栗縣,26,25,苗栗
苗栗縣,27,19,三義
臺中市,28,26,豐原
臺中市,29,18,沙鹿
臺中市,30,29,大里
臺中市,31,20,忠明
臺中市,32,21,西屯
彰化縣,33,22,彰化
彰化縣,34,20,線西
彰化縣,35,24,二林
南投縣,36,36,南投
雲林縣,37,24,斗六
雲林縣,38,21,崙背
嘉義縣,39,19,新港
嘉義縣,40,12,朴子
雲林縣,41,14,臺西
嘉義市,42,22,嘉義
臺南市,43,14,新營
臺南市,44,10,善化
臺南市,45,9,安南
臺南市,46,9,臺南
高雄市,47,19,美濃
高雄市,48,5,橋頭
高雄市,49,10,仁武
高雄市,50,10,鳳山
高雄市,51,5,大寮
高雄市,52,5,林園
高雄市,53,5,楠梓
高雄市,54,5,左營
高雄市,56,3,前金
高雄市,57,3,前鎮
高雄市,58,3,小港
屏東縣,59,12,屏東
屏東縣,60,1,潮州
屏東縣,61,0,恆春
臺東縣,62,5,臺東
花蓮縣,63,7,花蓮
臺北市,64,15,陽明
宜蘭縣,65,10,宜蘭
宜蘭縣,66,7,冬山
新北市,67,23,三重
桃園市,68,27,中壢
南投縣,69,32,竹山
新北市,70,20,永和
高雄市,71,2,復興
南投縣,72,31,埔里
連江縣,75,8,馬祖
金門縣,77,13,金門
澎湖縣,78,8,馬公
臺東縣,80,8,關山
雲林縣,83,17,麥寮
新北市,84,8,富貴角
彰化縣,85,22,大城
高雄市,202,7,湖內
臺南市,203,12,臺南(麻豆)
屏東縣,204,9,屏東(琉球)
新北市,311,21,新北(樹林)
臺南市,312,9,臺南(學甲)
屏東縣,313,0,屏東(建興)
